CodCliente,TotalPlan,Ubicacion,Genero,Edad,Antiguedad,Saldo,NoServicios,PagoApp,GamaAlta,TContrato,Churn
15634,619,Guatemala,F,42,2,298,1,1,1,1,1
15647,608,Escuintla,F,41,1,350,1,0,1,1,0
15619,502,Guatemala,F,42,8,234,3,1,0,0,1
15701,699,Guatemala,F,39,1,308.26,2,0,0,1,0
15737,850,Escuintla,F,43,2,0,1,1,1,1,0
15574,645,Escuintla,M,44,8,0,2,1,0,1,1
15592,822,Guatemala,M,50,7,0,2,1,1,1,0
15656,376,Quetzaltenango,F,29,4,0,4,1,0,0,1
15792,501,Guatemala,M,44,4,249.97,2,0,1,0,0
15592,684,Guatemala,M,27,2,83.01,1,1,1,1,0
15767,528,Guatemala,M,31,6,99,2,0,0,1,0
15737,497,Escuintla,M,24,3,83.01,2,1,0,1,0
15632,476,Guatemala,F,34,10,83.01,2,1,0,1,0
15691,549,Guatemala,F,25,5,83.01,2,0,0,1,0
15600,635,Escuintla,F,35,7,957.75,2,1,1,1,0
15643,616,Quetzaltenango,M,45,3,199.99,2,0,1,0,0
15737,653,Quetzaltenango,M,58,1,0,1,1,0,0,1
15788,549,Escuintla,F,24,9,0,2,1,1,1,0
15661,587,Escuintla,M,45,6,308.26,1,0,0,1,0
15568,726,Guatemala,F,24,6,83.01,2,1,1,1,0
15577,732,Guatemala,M,41,8,83.01,2,1,1,1,0
15597,636,Escuintla,F,32,8,83.01,2,1,0,1,0
15699,510,Escuintla,F,38,4,185.01,1,1,0,1,1
15725,669,Guatemala,M,46,3,146.99,2,0,1,1,0
15625,846,Guatemala,F,38,5,275,1,1,1,1,0
15738,577,Guatemala,M,25,3,0,2,0,1,1,0
15736,756,Quetzaltenango,M,36,2,0,1,1,1,0,0
15700,571,Guatemala,M,44,9,0,2,0,0,0,0
15728,574,Quetzaltenango,F,43,3,83.01,1,1,1,1,0
15656,411,Guatemala,M,29,0,349.67,2,1,1,1,0
15589,591,Escuintla,F,39,3,650,3,1,0,1,1
15706,533,Guatemala,M,36,7,83.01,1,0,1,1,0
15750,553,Quetzaltenango,M,41,9,0,2,0,0,1,0
15659,520,Escuintla,F,42,6,149,2,1,1,1,0
15732,722,Escuintla,F,29,9,0,2,1,1,1,0
15794,475,Guatemala,F,45,0,225,1,1,0,0,1
15788,490,Escuintla,M,31,3,83.01,1,0,1,1,0
15729,804,Escuintla,M,33,7,149,1,0,1,1,0
15717,850,Guatemala,M,36,7,249.97,1,1,1,0,0
15585,582,Quetzaltenango,M,41,6,83.01,2,0,1,1,0
15619,472,Escuintla,M,40,4,48.51,1,1,0,1,0
15738,465,Guatemala,F,51,8,83.01,1,0,0,1,1
15687,556,Guatemala,F,61,2,0,1,1,1,0,0
15755,834,Guatemala,F,49,2,83.01,1,0,0,1,1
15684,660,Escuintla,F,61,5,91.73,1,1,1,1,0
15754,776,Quetzaltenango,F,32,4,199.97,2,1,1,0,0
15602,829,Quetzaltenango,F,27,9,0,1,1,1,1,1
15771,637,Quetzaltenango,F,39,9,308.26,1,1,1,1,1
15766,550,Quetzaltenango,M,38,2,83.01,1,0,1,1,0
15771,776,Quetzaltenango,F,37,2,83.01,2,1,0,1,0
15616,698,Quetzaltenango,M,44,10,249.97,2,1,0,0,0
15768,585,Quetzaltenango,M,36,5,303.94,2,0,0,1,0
15683,788,Guatemala,F,33,5,701.88,2,0,0,1,0
15702,655,Quetzaltenango,M,41,8,83.01,1,0,0,1,1
15569,601,Quetzaltenango,M,42,1,185.01,1,1,0,1,1
15760,619,Guatemala,M,43,1,0,1,1,1,1,0
15630,656,Guatemala,M,45,5,225,1,1,0,0,0
15647,725,Quetzaltenango,M,19,0,1213.32,1,0,0,1,0
15623,511,Escuintla,F,66,4,0,1,1,0,1,1
15804,614,Guatemala,M,51,4,308.26,1,1,1,1,0
15651,742,Quetzaltenango,M,35,5,83.01,1,0,0,1,0
15773,687,Quetzaltenango,F,27,9,83.01,2,0,0,1,0
15702,555,Escuintla,M,33,1,83.01,2,0,0,1,0
15751,684,Escuintla,M,56,8,199.97,1,1,1,0,0
15592,603,Quetzaltenango,M,26,4,185.01,1,1,1,1,0
15789,751,Quetzaltenango,F,36,6,249.97,2,1,1,0,0
15696,581,Quetzaltenango,F,34,1,699.97,1,1,0,0,0
15641,735,Quetzaltenango,M,43,10,0,2,1,1,1,0
15638,661,Quetzaltenango,F,35,5,49.51,2,0,1,1,0
15755,675,Guatemala,F,21,8,74.51,1,1,0,1,0
